Dataset,Signature,Clean_Name,Kruskal_Wallis_Stat,Omnibus_p_value,Mean_Ectopic,Mean_Eutopic,Mean_Normal,p_ectopic_vs_eutopic,p_ectopic_vs_normal,p_eutopic_vs_normal,Mean_Diseased,p_diseased_vs_normal,Omnibus_FDR
GSE25628,GSE27786_CD4_TCELL_VS_NKCELL_DN,Gse27786 Cd4 Tcell Vs Nkcell Dn,2.2272727272727195,0.32836274111662644,1612.2043839697121,1679.4369324834674,1662.5235247986373,0.1605283605283605,0.7545787545787546,0.4135864135864136,,,0.4021576859527914
GSE25628,GSE27786_CD4_TCELL_VS_NKCELL_UP,Gse27786 Cd4 Tcell Vs Nkcell Up,1.3428853754940633,0.5109708743571195,1156.7982445227776,1176.9857160933996,1211.2323010991267,0.7984459984459983,0.2823842823842824,0.4908424908424909,,,0.5762615971916404
GSE25628,GSE27786_CD4_TCELL_VS_NKTCELL_DN,Gse27786 Cd4 Tcell Vs Nktcell Dn,2.817193675889314,0.2444860961993079,1507.9480354874572,1551.6295091999243,1498.4069982188885,0.32820512820512815,0.662004662004662,0.1078921078921079,,,0.31578373825106787
GSE25628,GSE27786_CD4_TCELL_VS_NKTCELL_UP,Gse27786 Cd4 Tcell Vs Nktcell Up,7.853754940711468,0.019705106367471876,1823.932262543569,1851.3356450370027,2018.3316411125609,0.8784770784770783,0.01998001998001998,0.007992007992007992,,,0.052302170107460424
GSE25628,GSE27786_CD4_VS_CD8_TCELL_DN,Gse27786 Cd4 Vs Cd8 Tcell Dn,5.955533596837938,0.050906391252865446,1773.8888624461597,1903.4126340828589,1812.7481085217944,0.010411810411810413,0.8518148518148518,0.18115218115218118,,,0.09620478595188536
GSE25628,GSE27786_CD4_VS_CD8_TCELL_UP,Gse27786 Cd4 Vs Cd8 Tcell Up,4.180830039525688,0.1236358138622305,1321.3318722342483,1353.9747790842225,1451.229602973037,0.3822843822843822,0.05927405927405928,0.22843822843822847,,,0.18280840216594446
GSE25628,GSE27786_CD8_TCELL_VS_ERYTHROBLAST_DN,Gse27786 Cd8 Tcell Vs Erythroblast Dn,3.420948616600782,0.1807800268117516,254.51581540044708,312.63531412816167,386.60815141660305,0.5737373737373737,0.1078921078921079,0.18115218115218118,,,0.24887264499204684
GSE25628,GSE27786_CD8_TCELL_VS_ERYTHROBLAST_UP,Gse27786 Cd8 Tcell Vs Erythroblast Up,8.203557312252968,0.016543224510394132,2028.2459857137787,2149.7011964014046,2252.889051029093,0.13038073038073036,0.007992007992007992,0.08125208125208126,,,0.047747979748009914
GSE25628,GSE27786_CD8_TCELL_VS_MONO_MAC_DN,Gse27786 Cd8 Tcell Vs Mono Mac Dn,4.806324110671923,0.09043155114948845,1547.2645336471871,1460.566245192113,1453.5550469121245,0.10489510489510488,0.042624042624042624,1.0,,,0.1446904818391815
GSE25628,GSE27786_CD8_TCELL_VS_MONO_MAC_UP,Gse27786 Cd8 Tcell Vs Mono Mac Up,9.69762845849803,0.007837665716081297,1582.305508569217,1762.2201050226677,1876.264138561343,0.037917637917637914,0.004662004662004662,0.1078921078921079,,,0.033146539031691645
GSE25628,GSE27786_CD8_TCELL_VS_NEUTROPHIL_DN,Gse27786 Cd8 Tcell Vs Neutrophil Dn,4.6907114624505795,0.09581311235160309,1097.3753368774082,1106.7454935805856,949.5641042502208,0.7984459984459983,0.1078921078921079,0.042624042624042624,,,0.15121525214674775
GSE25628,GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP,Gse27786 Cd8 Tcell Vs Neutrophil Up,1.8646245059288447,0.39364245631611877,1573.4411800732632,1685.2694398434064,1673.896058112704,0.13038073038073036,0.5727605727605728,0.662004662004662,,,0.4648148442007103
GSE25628,GSE27786_CD8_TCELL_VS_NKCELL_DN,Gse27786 Cd8 Tcell Vs Nkcell Dn,0.9199604743082972,0.6312961215915818,1907.9198281149916,1938.111749833226,1908.2289187165468,0.4418026418026417,0.9497169497169498,0.4908424908424909,,,0.6854634955190966
GSE25628,GSE27786_CD8_TCELL_VS_NKCELL_UP,Gse27786 Cd8 Tcell Vs Nkcell Up,11.390316205533594,0.0033622055630957415,1487.0829534590202,1624.0445330391867,1789.703131778856,0.06495726495726495,0.002664002664002664,0.012654012654012654,,,0.026143583751157554
GSE25628,GSE27786_CD8_TCELL_VS_NKTCELL_DN,Gse27786 Cd8 Tcell Vs Nktcell Dn,5.855731225296438,0.05351112982264031,2265.547418781085,2217.6312236661906,1914.3350451606755,0.5737373737373737,0.029304029304029304,0.05927405927405928,,,0.09969645296210462
GSE25628,GSE27786_CD8_TCELL_VS_NKTCELL_UP,Gse27786 Cd8 Tcell Vs Nktcell Up,3.4772727272727195,0.1757599098824968,1270.2839945179703,1317.8735630656731,1387.406963847104,0.2786324786324786,0.1078921078921079,0.344988344988345,,,0.24340599231026844
GSE25628,GSE27786_ERYTHROBLAST_VS_MONO_MAC_DN,Gse27786 Erythroblast Vs Mono Mac Dn,7.062252964426875,0.02927192298698541,2029.1646580304518,2157.030641668195,2218.0562108365543,0.08298368298368297,0.01998001998001998,0.18115218115218118,,,0.06692295109929278
GSE25628,GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP,Gse27786 Erythroblast Vs Mono Mac Up,6.560276679841891,0.037623051677151124,739.8032082741325,899.4239894381972,1004.8734410376732,0.028127428127428127,0.042624042624042624,0.5727605727605728,,,0.07883849796605603
GSE25628,GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_DN,Gse27786 Erythroblast Vs Neutrophil Dn,9.69762845849803,0.007837665716081297,1909.1167022332947,2032.5450482996964,2138.276229423836,0.04988344988344988,0.002664002664002664,0.14185814185814188,,,0.033146539031691645
GSE25628,GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_UP,Gse27786 Erythroblast Vs Neutrophil Up,2.9318181818181728,0.23086801603383278,1166.1635005234848,1255.6461665940508,1260.0108497635078,0.10489510489510488,0.2823842823842824,1.0,,,0.30301427104440554
GSE25628,GSE27786_LIN_NEG_VS_BCELL_DN,Gse27786 Lin Neg Vs Bcell Dn,7.397233201581017,0.02475775264608806,1565.7562821332008,1455.728660974968,1477.2211039658387,0.014763014763014764,0.042624042624042624,0.4908424908424909,,,0.05956531895888446
GSE25628,GSE27786_LIN_NEG_VS_BCELL_UP,Gse27786 Lin Neg Vs Bcell Up,9.958498023715421,0.006879226835879488,1254.5612242141328,1538.8991275743133,1607.2227453236826,0.010411810411810413,0.004662004662004662,0.4135864135864136,,,0.031584904367200024
GSE25628,GSE27786_LIN_NEG_VS_CD4_TCELL_DN,Gse27786 Lin Neg Vs Cd4 Tcell Dn,5.814229249011859,0.05463313978933082,1796.7687515832158,1879.2982369496542,1891.9236669141112,0.10489510489510488,0.042624042624042624,0.22843822843822847,,,0.10120633348046448
