"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"219506_at","C1orf54",-0.728400527100141,8.26631190709089,-6.44144198558658,1.75226062560578e-06,2.1191699216406e-05
"216026_s_at","POLE",-0.531063290812798,6.58780017489891,-6.44052544887989,1.75592792042823e-06,2.12245286399238e-05
"208580_x_at","H4C11",-0.739713599996255,7.26090873533495,-6.43874295761134,1.76308263188537e-06,2.12994532486499e-05
"212230_at","PLPP3",1.10852661298338,9.10188456804328,6.43412005079089,1.78177781953291e-06,2.1513639287661e-05
"216396_s_at","EI24",-0.567020227862278,8.57058309681325,-6.43342824714305,1.78459290036406e-06,2.15359566854877e-05
"221844_x_at","SPCS3",-0.501754328542367,9.0683573669609,-6.43104177235255,1.7943389080652e-06,2.16418450757815e-05
"202286_s_at","TACSTD2",-2.41740321214892,8.06928081480352,-6.4289040264498,1.80311539745718e-06,2.17359316607974e-05
"203846_at","TRIM32",-0.449255535812848,7.29297773195966,-6.42251129098818,1.82962376584277e-06,2.20435525320062e-05
"216508_x_at","216508_x_at",-0.518254488435852,9.20397758829877,-6.42206830507332,1.83147538109291e-06,2.2053933548436e-05
"206542_s_at","SMARCA2",0.969570214889412,8.64142127373865,6.42168894316041,1.83306258190291e-06,2.20611210897089e-05
"221042_s_at","CLMN",-0.800125898972457,5.86597402717565,-6.4169798844148,1.85288227496324e-06,2.22787231497503e-05
"218358_at","CRELD2",-0.805653426010643,8.76429647618247,-6.41691820325336,1.85314333152971e-06,2.22787231497503e-05
"40560_at","TBX2",-0.89473360814139,7.46491139392514,-6.41591648833258,1.85738821830663e-06,2.23177116177005e-05
"212732_at","MEG3",2.11877943653976,7.98546263140363,6.41481370757388,1.86207289332091e-06,2.23619395388193e-05
"202027_at","TMEM184B",-0.651397284478573,7.39721166316421,-6.4144806186917,1.8634902502481e-06,2.2366903181453e-05
"218664_at","MECR",-0.661798222198431,6.82360228769738,-6.41409263228527,1.86514259881938e-06,2.23746804921375e-05
"218898_at","TLCD3A",-0.667416875036632,7.03686158721606,-6.41343499543057,1.86794675478246e-06,2.23962593413825e-05
"201726_at","ELAVL1",-0.63670583609446,9.51731584721546,-6.41252707627398,1.87182520349918e-06,2.24306885736155e-05
"207034_s_at","GLI2",0.989920745530394,6.69981347496924,6.41211177052903,1.8736020526299e-06,2.24399101755034e-05
