"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"210089_s_at",1.25187041470549,6.7060763188954,6.02514272974027,3.9045235683733e-07,2.28897556664874e-05
"204240_s_at",-1.6202580473138,5.60212500734123,-6.01804284878069,3.99664635243497e-07,2.31857528107275e-05
"201816_s_at",-1.13232849381684,8.80471860321386,-6.01587001242286,4.02527110863583e-07,2.32911596070338e-05
"213549_at",-1.41206137044314,7.7708419349794,-6.01487443663118,4.03845507510238e-07,2.33069076963875e-05
"215930_s_at",-1.06978075092806,5.87216451140459,-6.01137441072606,4.08514772946214e-07,2.35154614907566e-05
"201508_at",1.52150055666876,10.9211778465925,6.00995446305756,4.10424420890192e-07,2.35644969695124e-05
"207317_s_at",1.42724852123389,5.75982160038045,6.00664778767245,4.14906113441591e-07,2.36996499721495e-05
"203917_at",-1.93217898174576,7.77124854057986,-5.99970780934167,4.2447180654897e-07,2.41840369168578e-05
"210117_at",-1.5128366398178,5.20903011039188,-5.99885081609127,4.25668220533828e-07,2.41903340531431e-05
"219779_at",1.57031625725462,5.61232736583897,5.9940638723625,4.32413307928033e-07,2.44489118292203e-05
"219276_x_at",-1.24071698641484,7.43511664678308,-5.99183502244196,4.35590215930118e-07,2.44977030057423e-05
"212494_at",1.20340555323105,8.26342054601334,5.99177899129217,4.35670380060271e-07,2.44977030057423e-05
"205918_at",1.43507887378057,6.6736790185788,5.98909015969414,4.39534680724458e-07,2.45980862827628e-05
"202196_s_at",2.15030160459925,7.41734228161825,5.98268385818111,4.48880128315355e-07,2.49992565462029e-05
"212686_at",-2.09390902226935,7.31572277272325,-5.97981996649517,4.53121888986193e-07,2.51725594038539e-05
"203425_s_at",1.42308797520904,6.56290178233395,5.97471454760984,4.60783158043551e-07,2.54711325353255e-05
"203370_s_at",1.36994772161472,7.07865965124682,5.96960012307274,4.68587656742798e-07,2.57815672430958e-05
"209200_at",1.28202334211474,7.70929100451686,5.96951823517117,4.68713683774915e-07,2.57815672430958e-05
"212660_at",1.28640483598548,7.93267176929516,5.96284409301624,4.790999513695e-07,2.61062121054731e-05
"209064_x_at",-1.20876384128882,7.68113357073488,-5.96271483727534,4.79303351040916e-07,2.61062121054731e-05
"206205_at",-1.44297432286372,5.50359609919225,-5.95934792153068,4.84632091147328e-07,2.63320709621684e-05
"211105_s_at",1.02683481487096,6.8854494717951,5.95438133264418,4.92600788197354e-07,2.66999215539476e-05
"206486_at",1.39907557824275,5.63218594466183,5.95018472680791,4.99435978377996e-07,2.7004697306618e-05
"212473_s_at",1.40051887286377,8.44817147084386,5.94598012552882,5.06379168058019e-07,2.72478471662524e-05
"211323_s_at",1.36791735799975,6.14512176475825,5.94407076412216,5.09563898333456e-07,2.72767385578896e-05
"213594_x_at",-1.09359168388915,7.96544544507816,-5.94345847639682,5.10589396177221e-07,2.72767385578896e-05
"206070_s_at",1.74839018203203,4.05427415223808,5.93905501907161,5.18025536928612e-07,2.7541897103004e-05
"218435_at",-1.49042621260972,9.20864351804827,-5.93626378434303,5.22795004853775e-07,2.76562999858383e-05
"201283_s_at",-1.19118903050521,5.19374543445606,-5.93561973703227,5.2390171899375e-07,2.76562999858383e-05
"214752_x_at",1.30410663981948,9.92822258087426,5.93334888549529,5.27822588538889e-07,2.77974085221769e-05
"210374_x_at",1.68690542969147,5.70954893056938,5.92985925025873,5.33904998300995e-07,2.79633764679173e-05
