"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","likely_gene_overlap_artifact"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","18/743","101/9416",0.178217821782178,2.25854510080887,3.72184203479358,0.00083484224050611,0.0139935461265786,0.0139935461265786,"PIK3R1/BAX/AKT1/COL1A1/TGFB1/COL4A1/PLCB1/TGFB3/JAK2/KRAS/CDK4/PIK3CA/MAPK8/IL1A/MMP2/PLCB4/COL4A2/CCND1",18,FALSE
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","20/743","122/9416",0.163934426229508,2.07753237870397,3.50613638953411,0.00130825090744528,0.0209320145191244,0.0209320145191244,"PIK3R1/CREB5/SOCS1/SST/AKT1/IRS1/GNAI3/MAP2K6/MAP2K3/PLCB1/JAK2/SOS2/KRAS/ADCY3/ITPR2/PIK3CA/MAPK8/PLCB4/ATF2/SOS1",20,FALSE
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","45/743","362/9416",0.124309392265193,1.57536640318851,3.26737088654478,0.00143716573481117,0.021792322974857,0.021792322974857,"FGF9/PIK3R1/LAMA4/SGK3/CREB5/LAMB2/ERBB4/AKT1/COL1A1/IRS1/HSP90AA1/COL4A1/PDGFRB/BAD/KDR/JAK2/THBS1/COL6A3/IGF2/SOS2/RBL2/KRAS/COL6A1/HGF/COL6A2/ITGB8/CDK4/TP53/ITGAV/PIK3CA/GNG4/PKN2/MAGI1/TEK/COL4A2/ITGA5/C8orf44-SGK3/EIF4E/CCND1/EFNA4/EIF4B/CCND2/ATF2/SOS1/OSMR",45,FALSE
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","14/743","73/9416",0.191780821917808,2.43042828960711,3.59090769865187,0.00148584020283116,0.021792322974857,0.021792322974857,"FGF9/PIK3R1/BAX/AKT1/PDGFRB/BAD/KRAS/HGF/CDK4/TP53/PIK3CA/GADD45G/CCND1/RB1",14,FALSE
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","16/743","90/9416",0.177777777777778,2.25296844623897,3.49569536930259,0.0016357478656637,0.0230313299485449,0.0230313299485449,"PIK3R1/ATG5/CREB5/BAX/AKT1/IRS1/KRAS/ADCY3/ATG101/TP53/PIK3CA/RB1CC1/EHMT2/APPL1/EIF4E/ATF2",16,FALSE
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","17/743","99/9416",0.171717171717172,2.17616270375355,3.44323646642701,0.00175824614260589,0.0238039477768183,0.0238039477768183,"PIK3R1/BAX/AKT1/BAD/SOS2/HBEGF/KRAS/ADCY3/CDK4/TP53/PIK3CA/MAPK8/NOTCH3/MMP2/CCND1/SOS1/RB1",17,FALSE
"Human Diseases","Cancer: specific types","hsa05214","Glioma","14/743","76/9416",0.184210526315789,2.33449033080683,3.41876056117444,0.00221596097726369,0.0282165353003527,0.0282165353003527,"PIK3R1/BAX/AKT1/PDGFRB/SOS2/KRAS/CDK4/TP53/PIK3CA/CAMK1/GADD45G/CCND1/SOS1/RB1",14,FALSE
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","33/743","250/9416",0.132,1.67282907133244,3.15576548379683,0.00229646260029017,0.0282165353003527,0.0282165353003527,"ARFGEF2/HLA-B/ARAP2/DNM3/KIF5B/SNX2/ARPC4/EHD2/AP2B1/ARPC3/CYTH2/ARFGEF1/AP2M1/SNX1/ACAP2/STAM2/TFRC/EHD3/DNM1/RUFY2/WWP1/WASHC4/PRKCI/GRK5/BIN1/EPS15/ZFYVE16/RAB11FIP2/RAB31/EEA1/ARF3/CLTB/SNX4",33,FALSE
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","16/743","93/9416",0.172043010752688,2.18029204474739,3.3479040904396,0.00232465773781315,0.0282165353003527,0.0282165353003527,"PIK3R1/LAMA4/BAX/BIRC2/LAMB2/AKT1/BIRC3/COL4A1/CDK4/TP53/ITGAV/PIK3CA/GADD45G/COL4A2/CCND1/RB1",16,FALSE
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","14/743","77/9416",0.181818181818182,2.30417227456258,3.36317939846796,0.00251690088528934,0.0295316370540615,0.0295316370540615,"PIK3R1/BAX/AKT1/TGFB1/BAD/TGFB3/KRAS/CDK4/TP53/PIK3CA/MAPK8/GADD45G/CCND1/RB1",14,FALSE
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","31/743","233/9416",0.133047210300429,1.68610031250181,3.10379608757932,0.0027194858551055,0.0308793232579722,0.0308793232579722,"TPM2/PDLIM4/COL1A1/DSG2/COL4A1/FHL3/COL5A1/THBS1/COL6A3/FBLN1/TPM1/COL6A1/COL6A2/ITGB8/ZYX/BGN/ITGAV/NID2/ANK3/LMNB1/DAAM1/PDLIM5/COL4A2/ITGA5/ACTB/PDLIM7/DSC2/MYL9/DCN/SDC2/DIAPH2",31,FALSE
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","20/743","130/9416",0.153846153846154,1.94968423232219,3.19121790338887,0.00285386239401769,0.0313924863341946,0.0313924863341946,"PIK3R1/CREB5/AKT1/COL1A1/GNAI3/TGFB1/COL4A1/PLCB1/SOS2/KRAS/ADCY3/ACTA2/PIK3CA/MAPK8/GNG4/MMP2/PLCB4/COL4A2/ATF2/SOS1",20,FALSE
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","12/743","63/9416",0.19047619047619,2.41389476382747,3.2955794761746,0.00335746873381651,0.0350065368297222,0.0350065368297222,"BAX/FZD6/GLI2/TCF7L1/WNT6/BMP2/FZD2/TP53/DVL3/GADD45G/FZD5/APC",12,FALSE
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","30/743","227/9416",0.13215859030837,1.67483887798602,3.01230396448578,0.00349289796627752,0.0350065368297222,0.0350065368297222,"PIK3R1/HLA-B/ROCK2/CXCL12/CREB5/BAX/AKT1/GNAI3/MAP2K6/PLCB1/AKAP13/PPP3R1/SOS2/KRAS/ADCY3/ITPR2/CDK4/TP53/ITGAV/PIK3CA/PDIA3/GNG4/CALR/ROCK1/TBK1/PLCB4/CCND1/ATF2/SOS1/RB1",30,TRUE
