"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","28/823","142/9411",0.197183098591549,2.25478753444115,4.66387216584528,3.22942282935397e-05,0.000541312779015523,0.000541312779015522,"PIK3R1/VEGFA/MAP2K6/PECAM1/MEF2C/MAP3K5/HMOX1/CTSL/CDH5/GSTM3/PDGFA/THBD/AKT3/TXN/NCF2/KLF2/GSTM4/ASS1/CAV2/DUSP1/CAV1/FOS/VCAM1/SELE/ICAM1/CCL2/GSTM5/PLAT",28
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","35/823","201/9411",0.174129353233831,1.99116809633485,4.39707870805941,5.64967414851627e-05,0.000903947863762603,0.000903947863762603,"FLT1/CSF1R/PBX3/MEF2C/CCNA1/NUPR1/MAF/ZBTB16/ZEB1/TSPAN7/RUNX1/CD14/PDGFA/IGFBP3/SPINT1/CD40/HOXA11/HOXA10/HOXA9/ITGAM/FCGR1A/CCNA2/BCL6/PAX8/NR4A3/PROM1/MET/NSD2/TGFBR2/GADD45B/IGF1/CDKN1A/PLAT/HPGD/PPARG",35
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","18/823","75/9411",0.24,2.74439854191981,4.69509772920897,5.93527134470697e-05,0.000908354571016024,0.000908354571016024,"PERP/SFN/CCNE2/THBS1/ATR/CCNB1/CCNB2/RRM2/CDK1/IGFBP3/CHEK1/PMAIP1/GTSE1/SERPINE1/CCND1/GADD45B/IGF1/CDKN1A",18
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","19/823","82/9411",0.231707317073171,2.64957176303233,4.6441827919739,6.26229127287316e-05,0.000918469386688064,0.000918469386688064,"HSPA6/HLA-DRB1/HLA-DPB1/CTSL/PDIA3/HLA-DPA1/HLA-DQB1/HLA-DRA/KLRC1/IFI30/HLA-DRB3/HLA-DQA1/KLRC2/HLA-E/CD74/HLA-DOB/HLA-DQA2/HLA-DRB4/HLA-DRB5",19
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","26/823","134/9411",0.194029850746269,2.2187301644874,4.39850300185513,8.12996860306851e-05,0.0011176157549713,0.0011176157549713,"CACNA1D/PLA2G4A/ITPR1/ADCY9/MYH11/ACTA2/CALD1/RAMP3/EDN3/PLA2G5/NPR2/ACTG2/MYLK/KCNMA1/PRKCQ/PLA2G2A/AGTR1/PLCB4/PLCB1/ADM/KCNMB1/RAMP1/NPR1/MYL9/EDNRA/PPP1R12B",26
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","13/823","45/9411",0.288888888888889,3.30344268934791,4.79463225715168,8.2551163719471e-05,0.0011176157549713,0.0011176157549713,"HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRA/KLRC1/HLA-DRB3/HLA-DQA1/HLA-E/HLA-DOB/HLA-DQA2/HLA-DRB4/HLA-DRB5",13
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","35/823","212/9411",0.165094339622642,1.88785277058163,4.04750400106096,0.000170109392470326,0.00221772244998351,0.00221772244998351,"FLT1/FGFR3/CSF1R/PIK3R1/FGF9/ID1/FGFR2/VEGFA/ANGPT1/MAP2K6/NGF/CDH1/THBS1/FGF7/INSR/ADCY9/PDGFA/RAPGEF3/AKT3/PDGFRA/ITGB2/FPR1/DOCK4/ITGAM/RAPGEF5/CNR1/PLCB4/PLCB1/MAGI1/MET/LPAR4/IGF1/KIT/PDGFD/FGFR1",35
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","45/823","300/9411",0.15,1.71524908869988,3.89747760696804,0.000217993828073246,0.00274049383863509,0.00274049383863509,"FLT1/FGFR3/CACNA1D/RPS6KA5/CSF1R/FGF9/FGFR2/VEGFA/ANGPT1/MAP2K6/HSPA6/FLT3LG/NRTN/MEF2C/NGF/PLA2G4A/ERBB4/MAP3K5/CACNB2/NTRK2/FGF7/INSR/CACNA1G/CD14/PDGFA/FLNA/AKT3/MECOM/PDGFRA/IGF2/MAP3K1/DUSP1/MET/FOS/TGFBR2/ERBB3/GADD45B/BDNF/IGF1/DUSP4/KIT/NTF3/NR4A1/PDGFD/FGFR1",45
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","26/823","143/9411",0.181818181818182,2.0790898044847,4.0251429334664,0.000245237864907559,0.00297668029129175,0.00297668029129175,"C1QA/HLA-DRB1/H2AX/C4B/FCGR2A/HLA-DPB1/C1S/C1QB/HLA-DPA1/HLA-DQB1/HLA-DRA/C4B_2/C3/CD40/C4A/C1R/HLA-DRB3/H2BC8/FCGR1A/HLA-DQA1/HLA-DOB/C7/HLA-DQA2/HLA-DRB4/HLA-DRB5/C2",26
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","17/823","78/9411",0.217948717948718,2.4922422656323,4.09661090244158,0.00033020746205444,0.00387443422143876,0.00387443422143876,"C1QA/LY96/C4B/SERPING1/CASP1/C1S/C1QB/CD14/C4B_2/C3/C4A/ITGB2/C1R/ITGAM/FOS/C4BPB/C2",17
